cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia
2000,90,90,0,34,0,0,0,1,90,0,1
2009,50,50,0,29,0,5,1,2,50,0,1
2007,50,50,0,24,0,1,0,2,50,0,1
1996,50,50,0,44,1,1,0,2,50,0,1
2003,90,90,1,49,0,1,0,6,90,0,1
1999,50,50,0,34,1,0,0,1,50,0,1
2009,50,50,0,29,0,5,0,2,50,0,1
2005,50,50,1,39,0,1,0,2,50,0,1
2000,50,50,1,44,0,6,0,1,50,0,1
2008,50,50,0,20,0,1,0,2,50,0,1
1991,50,50,1,75,0,5,0,2,50,0,1
2008,120,120,0,49,0,0,0,0,120,0,3
2010,50,50,0,39,0,5,0,2,50,0,1
1996,120,120,0,74,0,0,0,0,120,0,1
2007,50,50,1,34,0,5,0,2,50,0,0
2010,50,50,0,24,0,6,0,2,50,0,1
1988,50,50,1,39,0,6,0,2,50,0,1
1998,90,90,0,34,0,0,0,6,90,0,1
1999,50,50,0,49,0,0,0,2,50,0,1
1994,50,50,1,44,0,0,0,2,50,0,1
2000,50,50,0,54,1,1,0,2,50,0,1
2008,50,50,1,34,1,6,0,2,50,0,1
2002,50,50,0,24,0,1,0,2,50,0,1
1997,50,50,0,44,0,5,0,2,50,0,2
2003,50,50,1,29,0,0,0,2,50,0,2
1997,50,50,0,59,0,1,0,2,50,0,2
2001,50,50,0,20,0,6,0,2,50,0,1
2007,90,90,1,44,0,5,0,1,90,0,2
2003,50,50,0,34,0,6,0,1,50,0,1
1992,50,50,0,29,0,5,1,2,50,0,1
1988,30,50,0,24,0,6,0,2,30,0,1
2001,50,50,0,69,0,0,0,1,50,0,1
2009,90,90,1,69,0,5,0,1,90,0,1
1993,90,90,0,49,0,5,0,6,90,0,1
1995,50,50,1,54,1,6,1,2,50,0,1
2003,50,50,0,24,0,0,0,2,50,0,1
2006,50,50,0,24,0,1,0,1,50,0,1
2000,50,50,1,39,0,5,0,2,50,0,1
1985,50,50,0,74,0,0,0,2,50,0,1
1996,50,50,0,34,1,5,0,2,50,0,1
2005,90,90,0,20,0,6,0,1,90,0,1
2007,50,50,0,75,0,6,0,2,50,0,1
1994,50,50,0,24,0,6,0,1,50,0,1
2000,50,50,0,54,0,1,0,2,50,0,1
2004,50,50,0,75,0,0,0,2,50,0,5
2007,90,90,1,49,0,1,0,1,90,0,1
2000,50,50,0,49,0,5,0,6,50,0,2
2012,50,50,1,34,0,0,0,2,50,0,3
1996,50,50,0,44,0,5,0,2,50,0,1
2002,40,40,0,20,0,1,0,2,40,0,2
2007,50,50,0,69,1,1,0,1,50,0,1
1999,120,120,0,69,0,6,0,0,120,0,1
1992,50,50,1,49,0,6,0,2,50,1,0
1994,90,90,0,59,0,5,0,1,90,0,1
1992,50,50,0,29,0,0,1,2,50,0,1
1989,50,50,0,24,0,1,0,2,50,0,4
2005,50,90,0,39,0,1,1,1,50,0,1
2007,70,120,0,59,0,5,0,0,70,0,2
1992,50,50,0,75,0,0,0,2,50,0,2
2007,50,50,1,24,0,0,0,1,50,0,2
1997,90,90,0,54,0,0,0,1,90,0,2
1999,50,50,0,29,0,6,0,2,50,0,1
1998,50,50,0,20,0,0,0,2,50,0,6
2007,50,50,1,29,0,5,0,2,50,0,1
2008,50,50,0,29,0,1,0,2,50,0,1
1999,60,60,0,69,0,6,0,2,60,0,1
1995,50,50,0,59,0,0,1,2,50,0,1
2001,50,50,0,44,0,5,0,1,50,0,1
2003,50,90,0,44,0,5,0,1,50,0,2
1999,50,50,0,39,1,0,0,2,50,0,1
1995,50,50,0,39,0,5,0,1,50,0,1
2005,50,90,0,29,0,1,0,1,50,0,2
1998,50,50,1,49,0,0,0,6,50,0,1
1992,90,90,0,24,0,0,0,2,90,0,2
2006,50,50,0,20,0,6,0,2,50,0,1
2000,90,90,0,44,0,6,0,1,90,0,0
2005,50,50,1,49,0,5,0,2,50,0,1
2003,50,50,0,74,1,1,0,2,50,0,1
2008,50,50,1,69,0,1,0,2,50,0,1
1981,50,50,0,54,0,5,0,1,50,0,1
1999,80,100,1,20,0,5,0,1,80,0,2
2008,50,50,0,54,1,1,0,2,50,0,1
1999,90,90,0,44,0,5,0,1,90,0,1
2000,120,120,0,54,0,0,0,0,120,0,3
2006,50,50,1,59,0,6,0,2,50,0,1
2001,50,50,1,39,0,1,0,2,50,0,1
1999,50,50,1,24,0,6,0,2,50,0,1
2006,30,50,1,39,0,1,0,2,30,0,1
1999,50,50,0,34,0,5,0,2,50,0,1
1993,50,50,0,69,1,6,0,2,50,0,1
2000,50,50,1,39,0,5,0,2,50,0,1
1997,50,50,0,29,0,0,0,1,50,0,1
2001,120,120,0,34,0,5,0,0,120,0,1
1995,50,50,0,34,0,0,0,2,50,0,1
1990,50,50,0,54,0,6,0,1,50,0,1
1999,50,50,0,49,0,6,0,2,50,0,2
2006,90,90,0,39,0,5,0,6,90,0,1
1991,50,50,0,39,0,5,0,2,50,0,1
2010,50,50,0,54,0,1,0,2,50,0,1
2005,90,90,0,59,0,0,0,1,90,0,2
2007,50,50,0,20,0,5,1,2,50,1,0
2001,90,90,0,69,0,0,0,1,90,0,2
2005,30,50,0,29,0,6,0,2,30,0,1
2000,50,50,0,49,0,6,0,1,50,1,0
1998,50,50,1,24,0,5,0,1,50,0,1
2000,90,90,0,29,0,1,0,1,90,0,1
2011,50,50,1,24,0,6,0,2,50,0,4
1999,60,90,1,29,0,5,0,1,60,0,1
2001,50,50,0,44,0,5,0,2,50,0,1
2009,50,50,1,24,0,0,0,2,50,0,1
2007,50,50,0,29,0,5,0,2,50,0,1
2004,50,120,1,29,0,6,0,0,50,0,1
2000,50,50,1,39,0,0,0,2,50,0,1
2008,50,50,0,54,0,6,0,2,50,0,1
2007,50,50,1,24,0,6,0,1,50,0,2
2004,50,50,0,49,0,5,0,2,50,0,2
2010,50,50,0,34,0,6,0,1,50,0,1
2010,50,50,0,34,1,5,0,6,50,0,1
1999,50,50,0,74,0,5,0,2,50,0,1
1998,90,90,0,75,0,1,0,1,90,0,1
1997,50,50,0,29,0,0,0,2,50,0,1
2012,50,50,1,34,0,5,0,1,50,0,1
2005,50,50,0,59,0,6,0,1,50,0,1
2009,50,50,0,74,0,1,1,2,50,0,2
2000,50,50,0,24,0,5,0,1,50,0,1
2008,50,50,1,39,0,1,0,2,50,0,1
1993,50,50,1,44,0,1,0,2,50,0,2
2007,50,50,0,75,0,6,0,2,50,0,1
2001,70,100,1,29,0,5,0,0,70,0,1
2005,80,100,0,24,0,6,0,1,80,1,3
2002,90,90,0,75,0,0,0,1,90,0,2
2008,50,50,1,24,0,6,0,2,50,0,2
1999,50,50,0,24,0,1,0,2,50,0,1
1996,50,50,0,20,1,5,0,2,50,0,1
2006,50,50,1,34,0,6,0,2,50,0,2
2010,70,90,1,29,0,5,0,1,70,0,3
1998,90,90,0,75,0,6,0,1,90,0,1
2000,50,50,0,34,0,0,0,2,50,0,2
2007,50,50,0,20,0,1,0,2,50,0,1
1999,30,50,0,69,0,0,0,2,30,0,1
2002,90,90,0,49,0,5,0,1,90,1,0
1995,50,50,1,54,0,5,1,2,50,0,1
1998,50,50,0,49,0,6,0,2,50,0,1
2006,50,50,0,74,0,0,0,2,50,0,1
2004,50,50,0,44,0,6,1,2,50,0,1
2000,80,80,0,54,0,1,0,1,80,0,1
1994,50,50,1,49,0,1,0,2,50,0,1
2000,90,90,1,29,0,0,0,6,90,0,1
2011,50,50,0,39,0,1,0,2,50,0,1
2000,70,70,0,59,0,6,0,1,70,1,3
2000,50,50,0,69,0,6,0,2,50,1,0
2007,50,50,0,59,0,6,0,6,50,0,1
2001,50,50,0,29,0,6,0,2,50,0,1
2006,50,50,0,20,0,6,0,2,50,0,1
2010,50,50,0,34,0,5,0,2,50,0,1
2003,50,50,0,44,1,6,0,2,50,0,1
2005,60,120,1,69,0,1,0,0,60,0,1
1999,50,50,0,20,0,1,0,1,50,0,2
2009,50,50,0,69,0,5,0,2,50,0,1
1999,50,50,0,39,0,6,0,2,50,0,2
1997,50,50,0,75,0,0,1,2,50,0,1
1990,80,80,0,39,0,0,0,1,80,0,1
2010,70,70,0,69,0,0,0,1,70,0,1
2008,50,50,0,17,0,6,0,2,50,0,1
2008,50,50,0,44,0,0,1,2,50,0,1
1991,50,50,1,44,1,5,0,2,50,0,1
1999,50,90,1,24,0,1,0,1,50,0,1
1998,90,90,1,24,0,0,0,1,90,0,1
1999,50,50,0,39,0,1,0,1,50,0,1
2003,50,50,0,34,1,6,0,2,50,0,1
1999,30,30,1,54,0,6,2,2,30,0,1
1992,50,50,1,29,0,5,0,2,50,0,1
1991,50,50,1,24,0,1,0,1,50,0,3
1998,50,50,1,69,0,5,0,2,50,0,1
2000,50,50,0,49,0,5,0,2,50,0,1
2001,50,50,0,39,0,0,0,2,50,0,1
2006,120,120,1,44,0,1,0,0,120,0,1
1999,50,50,0,29,0,6,0,1,50,0,2
2000,50,50,0,34,1,5,0,1,50,0,1
2011,50,50,1,69,0,6,0,2,50,0,1
2008,50,50,0,29,0,1,0,2,50,0,1
2002,50,90,0,34,0,6,0,1,50,0,2
2010,50,50,0,75,0,1,0,1,50,0,1
2003,50,50,0,24,0,0,0,6,50,0,1
2002,50,50,1,44,0,5,0,1,50,0,1
1992,120,120,0,29,0,0,0,0,120,1,4
2007,50,50,1,29,0,1,0,2,50,0,1
2009,50,50,0,49,0,5,0,2,50,0,1
1995,50,50,1,39,0,6,0,2,50,0,1
1989,90,90,0,54,0,0,0,1,90,1,1
2001,50,50,1,34,1,1,0,2,50,0,1
2010,90,90,1,49,0,6,0,1,90,0,1
2006,50,50,1,34,0,6,0,2,50,0,1
1976,50,50,0,39,0,0,0,2,50,0,1
1995,50,50,0,34,0,1,0,2,50,0,1
2003,50,50,1,59,0,6,0,2,50,0,0
1996,50,50,0,44,0,1,0,2,50,0,1
1996,50,50,0,29,0,0,0,2,50,0,2
1998,50,50,1,20,0,5,0,2,50,0,1
1996,80,120,0,39,0,5,0,0,80,0,1
2001,50,50,1,34,0,6,0,2,50,0,1
1999,50,50,1,54,0,6,0,2,50,0,1
2011,80,120,0,39,0,1,0,0,80,0,1
1998,50,50,0,34,0,5,1,2,50,0,1
2004,120,120,1,24,0,5,0,0,120,0,1
2009,50,50,0,75,0,6,0,2,50,0,1
2011,50,50,0,34,0,0,0,2,50,0,1
2004,50,50,0,34,0,6,0,2,50,0,3
2004,50,50,1,34,0,5,0,2,50,0,2
2001,90,90,0,34,0,5,0,1,90,0,1
2007,50,50,0,34,1,6,0,2,50,0,1
1998,50,50,0,44,0,5,0,2,50,0,1
2009,50,50,1,34,0,6,0,2,50,0,1
2005,50,50,0,34,0,6,0,2,50,0,1
2002,50,50,1,34,0,6,0,2,50,0,1
1997,50,50,0,54,0,1,0,6,50,0,1
2005,90,90,0,39,0,1,0,1,90,0,1
1988,50,50,1,49,0,6,0,2,50,0,2
2012,50,50,0,39,0,6,0,2,50,0,1
2004,50,50,0,49,0,5,0,6,50,0,1
2003,120,120,0,54,0,6,0,0,120,0,1
1997,50,50,0,24,0,0,0,2,50,0,1
2000,40,50,0,44,0,1,0,2,40,0,1
2007,50,50,1,39,0,0,0,2,50,0,1
2012,50,50,0,54,0,0,0,2,50,0,1
2010,50,50,0,74,0,5,0,1,50,0,2
2009,60,80,0,75,0,6,0,1,60,0,1
2006,120,120,0,39,0,6,0,0,120,0,2
2009,50,50,0,59,0,1,0,2,50,0,2
1998,90,90,0,49,0,6,0,1,90,0,3
2007,90,90,1,24,0,6,0,1,90,0,1
1994,50,90,1,20,1,1,0,2,50,0,2
2007,50,50,0,74,0,1,0,2,50,0,1
2005,120,120,1,54,0,6,0,0,120,0,1
2011,50,50,0,44,0,1,0,2,50,0,1
2002,50,50,1,44,0,6,0,1,50,0,1
2003,100,120,1,24,0,0,0,0,100,0,1
2004,50,50,1,34,1,0,0,1,50,0,1
2006,90,90,0,39,0,5,0,1,90,0,1
1998,50,90,0,49,0,0,0,1,50,0,4
2001,50,50,0,59,0,0,0,2,50,0,1
1991,50,50,1,24,0,6,1,2,50,0,1
1999,50,50,0,54,0,5,0,2,50,0,1
2001,50,50,1,44,0,6,0,2,50,0,1
2013,90,90,0,34,0,0,0,1,90,0,1
1998,50,50,0,39,0,0,0,2,50,0,1
2000,50,50,1,59,0,5,0,2,50,0,1
2008,50,50,0,39,1,6,0,2,50,0,1
1998,50,50,1,34,0,1,1,2,50,0,1
1997,50,50,1,39,0,6,0,2,50,1,0
2008,50,50,0,24,0,5,0,1,50,0,1
2005,60,120,1,49,0,1,0,0,60,0,1
1997,90,90,0,75,0,1,0,1,90,0,3
2003,50,50,0,75,0,5,0,1,50,0,1
2011,50,50,0,17,0,6,0,2,50,0,1
1996,50,50,0,59,0,1,0,2,50,0,1
2008,80,90,0,49,0,1,0,1,80,0,1
2000,120,120,0,34,0,5,0,0,120,0,2
2000,90,90,0,59,0,6,0,1,90,0,3
1998,90,90,0,69,0,0,0,1,90,0,1
1998,50,50,0,39,0,5,0,2,50,0,1
2007,70,70,1,29,0,6,0,1,70,1,0
1992,50,50,0,34,0,0,0,2,50,0,1
2001,90,90,0,69,0,1,0,1,90,0,1
1985,40,40,1,44,0,5,0,2,40,0,1
2006,50,50,1,74,0,1,0,2,50,0,2
2002,50,50,0,44,0,1,0,2,50,0,1
1999,50,90,0,74,0,0,0,1,50,0,1
2002,100,120,0,29,0,1,0,0,100,0,2
1997,50,50,1,54,0,1,1,2,50,0,1
2000,50,50,0,49,0,0,0,1,50,0,2
2004,50,50,1,34,1,5,1,2,50,0,1
1998,50,50,0,39,1,6,0,2,50,0,1
1989,50,50,0,29,0,6,0,1,50,0,1
1990,50,50,0,39,0,6,0,2,50,0,1
1993,50,50,0,44,0,1,0,2,50,0,1
2011,50,50,0,24,0,1,0,2,50,0,1
2008,50,50,1,59,0,6,0,2,50,0,1
1994,90,90,1,24,0,0,0,1,90,0,1
2011,90,90,0,59,0,0,0,1,90,0,2
2003,120,120,0,34,0,0,0,0,120,0,2
2001,50,50,1,39,0,0,0,1,50,0,1
2005,50,50,0,24,0,5,0,2,50,0,1
2005,30,50,0,59,0,1,0,2,30,0,1
2000,80,80,0,39,0,5,0,1,80,0,0
2003,50,50,1,34,1,5,0,2,50,0,1
2007,90,90,0,59,0,5,0,1,90,0,2
2011,50,50,0,39,1,6,0,2,50,0,1
2007,90,90,1,49,0,6,0,1,90,0,1
1999,50,50,0,20,0,6,0,2,50,0,1
2008,50,50,1,39,1,5,1,2,50,0,2
1988,50,50,0,54,0,6,0,2,50,0,1
1999,120,120,1,34,0,1,0,0,120,0,1
2000,120,120,0,24,0,0,0,0,120,0,1
2012,50,50,0,39,0,1,0,2,50,0,1
2004,50,50,0,34,0,6,0,2,50,0,1
1998,50,90,1,39,0,5,0,1,50,0,2
2003,50,50,0,24,0,6,0,2,50,0,1
1998,50,50,0,54,0,1,0,2,50,0,1
1995,50,50,0,75,0,1,0,2,50,0,1
2006,50,50,1,39,0,1,1,2,50,0,1
2007,50,50,0,24,1,6,0,2,50,0,1
2010,50,50,0,44,0,5,0,6,50,0,1
1995,40,40,0,24,0,1,0,2,40,0,1
2008,50,50,0,29,0,5,0,1,50,0,1
2004,50,50,0,24,0,6,0,1,50,0,1
2000,50,50,1,39,0,1,0,2,50,0,1
2007,50,50,0,44,0,6,0,2,50,0,1
1982,50,50,0,69,0,6,0,2,50,0,1
2006,120,120,0,29,0,6,0,0,120,0,1
2007,50,50,0,39,0,5,0,2,50,0,1
2003,90,90,0,54,0,6,0,1,90,0,1
2002,50,50,0,20,0,1,0,2,50,0,1
1999,50,50,0,69,0,0,0,2,50,0,1
2008,60,60,0,59,0,5,0,1,60,0,2
1998,50,90,0,44,0,6,0,1,50,0,1
2006,50,50,1,69,0,5,0,2,50,0,2
2001,120,120,0,29,0,0,0,0,120,0,1
1995,90,90,0,74,0,0,0,1,90,0,4
1999,90,90,1,24,0,5,0,1,90,1,2
2006,100,100,0,24,0,5,0,1,100,0,1
2012,50,50,0,44,0,6,0,2,50,0,1
1996,70,70,0,39,0,1,0,0,70,0,1
1996,90,90,1,49,0,1,0,1,90,0,1
2003,80,80,1,29,0,1,0,1,80,0,1
2012,50,50,0,75,0,1,0,2,50,1,0
2010,50,50,0,49,0,0,0,2,50,0,2
2003,50,50,0,34,0,1,0,2,50,0,3
1990,50,50,0,59,0,0,0,1,50,0,6
2003,50,50,0,69,0,1,0,1,50,0,1
2002,90,90,1,49,0,0,0,1,90,0,1
2008,100,100,0,44,0,1,0,1,100,0,1
2005,50,50,1,69,0,0,0,1,50,0,1
1997,50,70,0,69,0,6,0,1,50,0,3
1992,50,50,0,59,1,6,0,2,50,0,1
2009,50,50,1,24,0,5,0,6,50,0,1
2008,50,50,1,44,0,6,0,2,50,0,1
2008,50,50,0,39,1,6,0,1,50,0,1
2009,50,50,0,69,0,6,0,2,50,0,1
1994,90,90,0,74,0,0,0,1,90,0,1
2010,120,120,0,39,0,1,0,0,120,0,1
1999,50,50,1,24,0,0,0,6,50,0,1
1991,50,50,0,24,0,5,0,2,50,0,1
2002,50,50,1,75,0,1,1,2,50,0,1
1993,50,50,0,39,0,0,0,2,50,0,1
2009,90,90,1,59,0,1,0,1,90,1,2
1999,50,50,1,29,0,6,0,1,50,1,0
2010,50,50,1,39,0,1,0,6,50,0,2
2005,50,50,1,39,0,5,0,2,50,0,1
2004,50,90,0,39,0,5,0,1,50,0,1
2007,90,90,0,44,0,6,0,0,90,0,2
2007,50,50,0,34,1,1,0,2,50,0,1
2002,50,50,0,44,1,0,0,2,50,0,1
2002,100,100,0,59,0,0,0,1,100,0,1
2007,120,120,0,29,0,6,0,0,120,0,1
1991,60,80,1,49,0,5,0,1,60,0,1
2005,50,50,0,44,0,0,0,1,50,0,5
1989,50,50,0,75,0,6,0,2,50,0,2
1997,80,80,0,69,0,6,0,2,80,0,3
2000,50,50,1,49,0,0,0,2,50,0,1
1993,50,90,0,39,0,5,0,1,50,0,1
2012,50,50,0,44,0,6,0,2,50,0,1
2003,90,90,0,39,0,6,0,1,90,0,2
2001,50,50,0,39,0,1,0,2,50,0,1
1995,50,50,1,39,0,6,0,2,50,0,1
1998,50,50,0,24,0,1,0,2,50,0,1
2011,120,120,0,29,0,5,0,0,120,0,1
2006,50,50,1,34,0,1,0,1,50,0,1
2001,50,50,0,54,0,5,0,2,50,0,1
1989,30,50,0,20,0,0,0,2,30,0,1
2011,30,30,1,39,0,0,0,6,30,0,1
1997,50,50,0,24,0,0,0,2,50,0,1
2003,50,50,1,29,1,1,0,2,50,0,1
1993,50,50,0,29,0,6,0,1,50,2,5
1999,50,50,0,29,1,5,0,2,50,1,3
1989,50,50,0,34,0,6,0,2,50,0,3
1994,50,50,1,59,0,1,0,2,50,0,1
2007,110,120,1,29,0,5,0,0,110,0,1
2001,40,40,0,49,0,1,0,2,40,0,2
1999,50,50,1,34,0,6,1,2,50,0,2
1997,50,50,1,39,0,5,0,2,50,0,1
2005,70,90,0,39,0,0,0,1,70,1,0
1997,50,50,0,44,0,5,0,2,50,0,1
2006,50,50,0,69,0,6,0,2,50,0,1
2003,50,50,1,59,0,6,0,2,50,0,1
1999,90,90,1,49,0,1,0,1,90,0,1
1989,50,50,0,49,0,0,0,2,50,0,1
2007,50,50,1,39,0,6,0,2,50,0,1
2010,50,50,0,59,1,1,0,1,50,1,0
2000,50,50,0,49,0,5,0,2,50,0,3
1988,50,50,0,75,0,5,0,2,50,0,2
2000,50,50,1,49,0,0,0,1,50,0,1
2003,50,50,1,24,0,6,0,2,50,0,1
2001,90,90,0,54,0,6,0,0,90,0,1
2011,90,90,1,54,0,5,0,1,90,0,1
1989,50,90,0,44,0,6,0,1,50,0,5
1997,50,50,1,54,0,5,0,2,50,0,1
1995,50,50,0,29,1,1,0,2,50,0,1
2008,50,50,0,34,0,5,0,1,50,0,1
1992,50,50,0,59,0,5,0,1,50,0,2
2000,50,50,1,54,0,1,0,2,50,0,2
2006,90,90,0,49,0,5,0,0,90,0,1
2008,90,90,1,49,0,1,0,1,90,0,1
2004,100,100,0,24,0,6,0,0,100,0,2
1987,50,50,1,39,0,0,0,2,50,0,2
1992,50,50,1,69,0,5,0,2,50,0,2
1995,60,80,1,39,0,6,0,6,60,0,1
2002,50,50,0,49,0,6,0,2,50,0,1
2011,50,50,0,34,0,5,0,2,50,0,1
1998,60,120,1,34,0,5,0,0,60,0,2
2002,50,50,0,24,0,0,0,1,50,0,1
2005,50,50,0,29,0,0,1,2,50,0,1
2011,80,120,0,39,0,6,0,0,80,0,1
2008,50,90,0,39,0,5,0,1,50,0,1
1997,50,50,0,29,0,1,0,2,50,0,1
2000,50,50,0,75,0,5,0,2,50,0,1
1995,100,100,0,69,0,6,0,1,100,0,1
2011,90,90,0,34,0,1,0,1,90,0,1
2003,50,50,1,74,0,5,0,1,50,0,1
2004,50,50,1,29,0,1,0,2,50,0,1
1997,50,50,1,59,0,1,0,2,50,0,1
1997,50,50,1,34,0,1,0,2,50,0,4
1997,70,70,1,29,0,6,0,2,70,0,1
1998,50,50,0,49,0,1,0,1,50,0,1
2006,90,90,1,29,0,5,0,1,90,0,1
1992,50,50,0,34,0,1,0,2,50,0,1
2002,50,50,0,44,0,1,0,1,50,1,0
2008,50,50,1,54,0,6,0,1,50,0,4
1997,50,50,0,74,0,5,0,2,50,0,1
2006,50,50,0,74,0,6,0,2,50,0,2
2008,90,90,1,39,0,0,0,0,90,0,1
2002,50,90,1,49,0,1,0,1,50,0,1
2000,50,50,0,74,1,0,0,1,50,0,1
2003,120,120,1,49,0,1,0,0,120,0,1
2001,50,50,0,75,0,6,0,2,50,0,1
2000,50,50,0,59,1,1,0,2,50,0,1
1993,50,50,0,29,0,5,0,2,50,0,1
2003,50,50,0,59,0,6,0,2,50,0,1
2000,50,50,0,44,0,1,1,2,50,0,2
2008,80,80,0,49,0,6,0,1,80,0,1
2003,50,50,0,54,0,6,0,2,50,0,1
2012,80,100,0,39,0,5,0,1,80,0,1
2005,50,50,0,59,0,0,0,6,50,0,1
2009,120,120,0,39,0,5,0,0,120,0,2
1998,50,50,0,75,0,1,1,2,50,0,1
2000,90,90,0,39,0,6,0,1,90,0,1
1999,50,50,0,44,0,1,0,6,50,0,3
2011,120,120,1,34,0,1,0,0,120,0,1
1999,50,50,0,49,0,5,0,2,50,0,1
2009,50,50,0,59,0,5,0,2,50,0,1
1997,50,50,1,39,0,5,0,2,50,0,1
1999,50,50,1,49,0,5,0,2,50,0,1
2006,40,120,1,34,0,6,0,0,40,0,4
1997,50,50,1,24,0,5,0,2,50,0,1
2004,50,50,0,39,1,6,0,2,50,0,1
1990,50,50,0,20,0,0,0,2,50,0,1
1990,50,50,0,59,0,6,0,2,50,0,1
2000,50,50,0,17,0,6,0,2,50,0,1
1998,50,50,0,44,0,5,1,2,50,0,1
2001,50,50,0,74,0,1,0,2,50,0,1
1999,120,120,0,49,0,0,0,0,120,1,0
2007,100,100,1,24,0,1,0,1,100,0,1
2001,90,90,0,59,0,1,0,1,90,0,0
2009,80,80,0,20,0,5,0,1,80,0,1
1993,50,50,1,59,0,5,0,2,50,0,1
1999,90,90,1,29,0,5,0,6,90,0,3
1991,120,120,0,74,0,1,0,0,120,0,2
1992,50,50,0,59,0,6,0,6,50,0,2
1996,50,50,0,74,0,5,0,2,50,0,1
1993,50,50,0,34,0,6,0,2,50,0,2
1999,90,90,0,44,0,6,2,1,90,0,1
2002,50,50,0,29,0,6,0,2,50,0,1
2005,50,50,1,39,0,0,1,2,50,0,1
1999,50,50,1,24,0,0,0,1,50,0,2
2011,120,120,0,44,0,1,0,0,120,0,2
2011,50,50,0,49,0,5,0,2,50,0,1
2011,50,50,0,59,0,1,0,2,50,0,1
2000,90,90,0,75,0,6,0,1,90,0,2
2011,90,90,0,59,0,1,0,1,90,0,1
1997,70,70,0,75,0,6,0,2,70,0,1
1991,50,50,0,44,0,1,0,2,50,0,1
1998,50,50,0,74,0,5,0,2,50,0,1
1998,50,50,1,69,0,1,0,2,50,0,1
2008,70,70,0,59,0,6,0,2,70,0,2
2000,50,50,0,44,0,0,2,6,50,0,1
2003,50,50,0,44,0,1,0,2,50,0,1
2005,120,120,0,29,1,6,0,1,120,0,1
2007,50,50,1,69,0,0,0,2,50,0,1
2006,50,50,0,75,0,1,0,1,50,0,2
2012,50,50,0,29,0,1,0,2,50,0,1
2004,50,50,0,39,0,5,0,2,50,0,1
2005,50,50,0,54,0,6,0,2,50,0,1
2006,50,50,0,75,0,5,0,2,50,0,1
1994,50,50,0,24,0,6,0,1,50,0,2
1996,50,50,0,49,1,0,0,2,50,0,1
2008,90,90,1,44,0,1,0,1,90,0,1
1992,50,50,0,24,0,0,0,1,50,0,1
2013,50,50,1,44,1,0,0,1,50,0,2
1993,120,120,0,24,0,1,0,0,120,0,2
2007,120,120,1,44,0,5,0,0,120,0,1
1999,70,70,0,49,0,5,0,1,70,0,1
1987,80,80,0,74,0,1,0,1,80,0,1
2008,50,50,1,39,0,5,0,2,50,0,1
1999,50,50,0,59,0,6,1,2,50,0,1
2004,70,70,0,49,0,6,0,1,70,0,1
1999,50,50,0,54,1,0,0,2,50,0,0
1989,50,50,0,69,0,1,0,2,50,0,1
2003,50,50,0,39,0,6,0,2,50,0,1
1996,70,90,1,59,0,1,0,1,70,0,1
2004,50,50,1,29,0,0,0,2,50,0,1
2001,50,50,0,39,1,6,0,2,50,0,1
1998,50,50,1,59,0,6,0,2,50,0,1
2006,50,50,0,44,0,1,0,2,50,0,1
1998,120,120,1,29,0,6,0,0,120,0,1
2010,50,50,1,44,0,5,0,2,50,0,1
2011,120,120,0,34,0,0,0,0,120,0,1
2001,120,120,1,44,0,5,0,0,120,0,1
2008,100,120,0,34,0,0,0,0,100,0,2
1994,50,50,0,54,0,1,0,2,50,0,1
1996,50,50,1,59,0,1,0,2,50,1,0
2009,50,50,0,49,0,6,0,2,50,0,1
1987,50,50,1,59,0,0,0,2,50,0,2
2010,50,50,0,54,0,6,0,2,50,0,1
1997,50,50,0,39,1,6,0,2,50,0,3
2005,80,50,0,44,0,1,0,2,80,0,2
1999,50,50,0,39,0,6,0,2,50,0,1
2002,50,50,1,49,0,1,0,1,50,0,2
2002,90,90,0,75,0,6,0,1,90,1,3
1995,50,50,0,54,0,0,0,2,50,0,1
2008,50,50,1,29,0,5,0,2,50,0,1
1998,50,50,0,20,0,1,0,2,50,0,1
1998,50,50,1,54,0,5,0,2,50,0,1
1993,60,60,1,34,0,1,0,1,60,0,1
1999,50,50,0,24,0,5,0,2,50,0,1
1996,90,90,0,49,0,5,0,1,90,0,1
2002,50,50,1,29,0,6,0,2,50,0,1
2000,50,50,1,49,0,5,0,2,50,0,1
2006,50,50,1,44,0,6,1,2,50,0,1
1995,50,50,0,44,0,5,0,2,50,1,0
1999,100,100,1,39,0,1,0,0,100,0,1
1990,50,50,1,54,0,1,0,2,50,0,1
2009,50,50,1,34,1,6,0,2,50,0,1
1999,50,50,0,44,0,0,0,1,50,0,1
1999,50,50,0,29,0,1,1,2,50,0,1
2002,50,50,0,24,0,5,0,2,50,0,1
2009,50,50,0,39,0,0,0,2,50,0,1
1999,50,50,1,75,0,5,0,2,50,0,1
1995,90,90,0,44,0,6,0,0,90,0,2
2006,50,50,1,34,0,1,0,2,50,0,1
2011,80,50,0,49,0,6,0,2,80,0,1
1980,50,50,1,39,0,1,0,2,50,0,1
2010,50,50,0,29,0,0,0,1,50,0,1
1998,90,90,1,54,0,0,0,1,90,0,1
2009,40,120,0,39,0,5,0,0,40,0,1
1989,50,90,0,49,0,5,0,1,50,0,1
