aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,aCaracterísticasTecnicas1,aCondAderência,aEstadoConservação,aTraçado1,aTraçado2,aTraçado3,aTraçado4,pAcessóriosPassageiro
1,2,0,0,7,0,6,1,0,0,2,1,0
0,3,0,1,7,0,7,0,0,2,0,1,0
0,1,0,0,9,2,6,0,0,0,1,1,1
0,2,0,1,7,0,7,1,0,2,1,1,0
0,2,0,1,11,0,7,1,0,2,1,1,0
0,2,0,0,11,0,6,1,0,2,0,3,1
0,3,0,0,7,0,6,1,0,0,1,1,0
0,2,0,0,16,0,6,0,0,0,2,3,1
0,5,0,1,7,0,7,0,0,0,1,1,0
0,2,0,1,7,0,7,0,0,0,1,1,0
0,3,0,0,8,0,6,1,0,0,2,1,1
0,1,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,16,0,4,0,0,2,1,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
0,3,0,1,5,0,7,1,0,2,0,3,0
0,5,0,0,7,0,6,1,0,2,0,1,1
0,1,0,0,8,1,6,0,0,0,1,1,0
0,2,0,1,12,2,7,1,0,0,1,3,0
0,1,0,0,9,0,6,0,0,2,1,1,1
0,2,0,0,5,0,6,1,0,0,2,1,0
0,1,0,1,9,1,7,0,0,2,1,1,0
0,1,0,1,8,1,7,0,0,0,1,1,0
0,2,0,1,7,0,7,0,0,2,2,1,0
0,2,0,1,10,1,7,1,0,0,1,1,0
1,2,0,0,5,0,6,0,0,0,2,1,0
0,1,0,1,6,0,7,1,0,0,1,1,1
0,3,0,1,7,0,5,3,0,0,2,1,0
0,1,1,1,14,0,7,1,0,2,2,1,0
0,2,0,0,8,0,6,1,0,2,0,1,0
0,2,0,0,16,0,6,1,0,0,1,1,0
0,1,0,0,8,1,6,1,0,0,1,1,0
0,3,0,0,10,0,6,1,0,0,2,1,0
0,1,0,1,7,0,7,0,0,0,1,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
0,2,0,1,16,0,7,1,0,0,2,3,0
0,1,0,1,10,0,5,0,0,2,2,3,4
0,4,0,0,8,2,6,1,0,2,2,1,0
0,1,0,1,3,0,5,3,0,0,1,1,0
0,2,0,0,15,0,6,0,0,0,1,4,0
0,3,0,1,9,2,7,0,0,0,1,1,4
0,1,0,0,9,0,6,0,0,2,1,1,0
0,1,0,0,9,2,6,1,0,0,1,1,0
3,4,0,0,7,0,6,1,0,0,0,1,0
0,3,0,1,7,0,7,1,0,2,1,1,0
0,3,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,12,1,6,1,0,2,1,1,0
0,1,0,0,16,0,0,0,0,2,2,1,0
0,2,0,0,16,0,6,1,0,2,2,1,0
0,1,0,0,7,0,6,0,0,0,2,1,4
0,2,0,0,8,0,6,1,0,2,2,1,0
0,1,0,0,7,0,6,0,0,2,1,1,0
0,1,0,0,13,0,6,1,0,2,0,3,4
1,3,0,0,8,1,6,0,0,0,1,1,0
0,3,0,0,7,0,6,0,0,0,1,1,0
0,2,0,0,8,0,6,0,0,0,1,1,0
2,0,1,0,10,0,6,1,0,0,2,1,4
0,4,0,0,10,0,6,1,0,2,2,1,1
0,1,0,0,5,0,6,1,0,2,1,3,1
0,2,0,1,6,2,7,0,0,0,1,1,0
0,2,0,0,8,0,6,1,0,0,2,1,0
0,4,0,0,6,0,6,1,0,0,2,1,1
0,1,0,1,10,0,7,0,0,0,1,1,0
0,1,0,1,10,0,7,1,0,1,2,1,0
0,2,0,0,6,1,5,0,0,0,1,1,0
0,2,0,1,8,2,7,1,0,0,1,1,1
0,2,1,0,10,0,6,1,0,2,0,3,4
0,1,0,0,9,2,6,0,0,2,1,1,0
0,2,0,0,8,0,6,0,0,2,1,1,0
0,2,0,0,10,1,6,0,0,0,1,1,0
0,3,0,0,7,0,6,1,0,0,2,1,0
0,2,0,0,14,0,6,1,0,2,1,3,0
0,5,0,0,7,0,6,0,0,0,0,1,1
1,3,0,1,12,2,7,1,0,2,1,3,0
1,1,0,0,16,2,6,0,0,0,1,1,0
0,2,0,0,8,0,6,0,0,2,0,1,0
0,1,0,1,16,0,7,1,0,2,2,1,0
0,3,0,1,12,0,7,0,0,0,1,1,0
0,3,0,0,9,0,6,1,0,0,1,1,1
0,1,0,0,5,0,6,1,0,2,1,1,0
0,1,0,0,7,0,6,1,0,0,1,1,4
0,2,0,0,16,0,6,0,0,2,0,3,0
0,1,0,0,8,0,6,0,0,0,1,1,0
0,2,0,1,7,0,7,0,0,0,2,1,0
0,1,0,1,8,0,5,0,0,2,2,1,0
0,2,0,0,16,0,6,1,0,0,2,3,0
0,1,0,0,9,0,6,0,0,2,0,1,0
0,1,0,1,8,0,7,0,0,0,1,1,0
0,1,0,1,10,0,7,1,0,0,2,3,0
0,1,0,1,8,0,7,0,0,0,1,1,0
0,2,0,1,10,0,7,0,0,2,1,1,0
0,1,0,0,16,0,6,1,0,0,1,3,0
0,2,0,0,16,0,6,0,0,2,1,1,0
0,2,0,0,8,0,6,0,0,2,2,1,1
0,1,0,0,16,2,6,0,0,0,2,1,4
0,1,0,1,10,0,7,1,0,2,2,3,0
0,3,0,1,11,0,7,3,0,2,2,1,1
0,1,0,0,9,0,6,1,0,0,2,0,0
0,1,0,0,11,0,6,0,0,2,0,1,0
1,1,1,2,11,1,1,0,0,2,1,1,0
0,3,0,0,8,0,6,0,0,0,1,1,4
0,3,0,0,7,0,6,0,0,0,2,1,0
1,0,0,0,11,0,6,0,0,2,2,1,0
0,2,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,7,0,6,0,0,2,2,1,0
0,4,0,0,8,0,6,1,0,2,2,1,0
0,2,0,0,7,0,6,0,0,0,0,1,0
0,2,0,0,7,0,6,0,0,0,2,1,0
0,1,0,1,10,0,7,0,0,2,1,1,0
0,1,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,9,1,6,0,0,0,1,1,0
0,2,0,1,12,1,7,0,0,0,1,1,0
0,2,0,0,7,0,6,0,0,0,2,1,0
0,2,0,0,8,0,6,1,0,2,2,1,1
0,2,0,0,7,0,6,1,0,2,1,1,0
0,4,0,0,8,0,6,0,0,2,1,1,0
0,1,0,0,7,0,6,1,0,0,2,1,0
0,3,0,1,7,0,7,0,0,0,1,1,3
0,2,0,1,8,0,7,0,0,2,2,1,0
0,2,0,0,16,0,6,1,0,2,2,1,3
0,4,0,1,7,0,7,0,0,0,0,1,0
0,2,0,0,7,0,6,1,0,2,2,1,0
0,2,0,0,8,0,6,0,0,0,1,1,4
0,2,0,0,8,2,6,0,0,2,1,1,0
0,1,0,0,8,0,6,0,0,0,1,1,0
0,1,0,1,10,0,7,1,0,0,2,3,0
0,2,0,0,10,0,5,0,0,0,0,3,0
0,2,0,0,7,0,6,0,0,2,2,1,0
0,1,0,0,9,0,6,1,0,0,2,1,0
0,2,0,0,8,0,6,1,0,2,1,1,0
0,2,0,1,16,0,5,0,0,0,2,1,4
0,2,0,1,7,0,7,0,0,2,1,1,0
0,2,0,0,7,0,6,1,0,0,2,1,0
0,2,0,0,7,0,6,0,0,2,1,1,4
0,1,0,0,9,0,6,0,0,2,2,1,0
0,2,0,0,9,0,6,1,0,2,2,1,4
0,2,0,0,9,2,6,1,0,0,0,1,0
2,0,1,1,8,0,7,0,0,0,1,1,4
0,2,0,0,5,0,6,1,0,2,1,1,0
0,2,0,0,7,0,6,1,0,0,1,1,0
0,3,0,0,7,0,6,1,0,2,1,1,0
0,1,0,0,9,0,6,0,0,2,1,1,0
0,3,0,0,7,0,7,1,0,0,2,1,0
0,1,0,1,15,0,7,1,0,2,2,1,0
0,2,0,1,8,0,7,1,0,2,2,1,0
0,1,0,0,16,0,6,0,0,2,1,1,0
0,2,0,0,15,0,6,0,0,0,0,3,0
0,2,0,1,9,0,7,1,0,0,1,1,1
0,1,0,0,7,0,6,1,0,0,1,1,0
0,2,0,0,3,2,6,1,0,0,1,1,0
0,2,0,0,7,0,7,1,0,2,1,1,0
0,6,0,0,11,0,6,0,0,0,1,3,3
0,2,0,0,3,1,6,0,0,2,1,1,0
1,1,0,0,7,0,6,0,0,0,1,1,0
0,2,0,0,7,0,6,1,0,0,1,1,4
0,1,0,1,16,0,7,0,0,0,0,1,0
0,1,0,0,5,0,6,1,0,2,2,1,0
0,2,0,1,11,0,7,1,0,2,1,1,0
0,3,0,1,16,2,7,1,0,2,1,1,0
2,1,0,0,7,0,6,1,0,2,1,1,0
0,1,0,0,8,0,6,0,0,0,2,1,0
0,2,0,0,9,1,6,0,0,2,1,1,0
0,2,0,0,16,0,2,3,0,2,0,3,0
0,3,0,0,7,0,6,1,0,0,2,1,0
0,2,0,0,9,0,6,0,0,0,1,1,0
0,1,0,0,11,2,6,1,0,2,2,1,0
0,2,0,0,8,0,6,1,0,2,0,1,0
0,1,0,0,8,0,6,1,0,0,1,1,1
0,1,0,0,16,0,6,0,0,2,2,1,0
0,4,0,1,3,1,7,0,0,0,1,1,0
0,1,0,0,5,0,6,1,0,2,2,1,0
0,1,0,1,12,2,7,0,0,0,2,1,0
0,3,0,0,8,0,6,0,0,0,2,1,0
0,3,0,0,7,0,6,1,0,0,2,1,1
0,1,0,0,9,2,6,0,0,0,1,1,0
0,2,0,1,7,0,7,0,0,0,1,1,0
0,6,0,0,8,0,6,0,0,2,1,1,0
0,1,0,0,8,0,6,0,0,2,1,1,0
0,2,0,1,12,2,7,1,0,0,1,1,0
0,1,0,0,8,0,6,1,0,0,2,1,0
0,2,0,1,9,0,5,1,0,0,0,1,0
0,3,0,1,8,0,7,1,0,2,2,1,0
0,1,0,0,7,0,6,0,0,2,2,1,0
0,1,0,0,16,0,5,0,0,0,1,4,0
0,5,0,0,7,0,6,0,0,2,1,1,1
0,2,0,1,10,0,7,0,0,2,2,3,0
0,2,0,0,14,0,6,1,0,0,2,3,0
0,2,0,0,7,0,6,1,0,0,2,1,0
0,2,0,0,16,1,6,1,0,0,1,1,0
0,2,0,0,8,0,6,0,0,0,2,1,0
0,1,0,0,11,0,6,0,0,2,0,1,0
0,1,0,0,16,0,6,0,0,0,2,1,0
0,2,0,0,12,2,7,0,0,2,1,1,0
0,2,0,0,16,0,6,1,0,2,2,1,0
0,3,0,0,10,1,6,1,0,2,1,1,4
0,1,0,0,5,0,6,1,0,2,1,1,0
0,2,0,0,6,0,6,1,0,2,2,1,0
0,2,0,0,9,0,6,1,0,0,2,1,0
0,1,0,0,8,0,6,1,0,2,1,1,0
0,1,0,0,16,0,6,1,0,0,2,3,0
0,2,0,0,9,0,6,1,0,2,2,1,1
0,1,0,0,9,2,6,0,0,2,1,1,0
0,5,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,16,0,4,0,0,2,1,1,0
0,2,0,0,7,0,6,0,0,2,1,1,0
0,4,0,0,5,2,7,0,0,0,1,1,0
0,4,0,1,7,0,7,1,0,0,2,1,0
0,3,0,0,9,1,6,0,0,0,1,1,0
0,2,0,0,10,0,6,1,0,0,2,3,0
0,2,0,0,3,0,5,0,0,0,1,1,0
0,1,0,0,16,0,6,0,0,2,0,1,0
0,4,0,0,16,0,6,1,0,0,0,3,0
0,2,0,0,9,0,6,0,0,0,0,1,0
4,3,1,0,7,0,6,0,0,0,1,1,0
0,6,0,0,10,2,6,0,0,2,1,1,0
0,1,0,0,7,0,6,1,0,2,0,1,0
0,2,0,0,7,0,6,0,0,0,1,1,1
0,3,0,0,8,0,6,0,0,2,1,1,0
0,3,0,0,8,0,6,0,0,2,1,1,0
0,2,0,0,5,0,6,0,0,2,2,1,4
0,1,0,0,9,0,6,0,0,2,1,1,4
0,1,0,0,8,0,6,1,0,0,1,1,1
0,2,0,0,9,2,6,0,0,0,1,1,0
0,1,0,0,9,0,6,0,0,0,1,1,0
0,2,0,0,5,0,6,1,0,2,0,1,0
0,3,0,1,7,0,7,1,0,2,2,1,0
0,1,0,0,16,0,6,0,0,2,1,1,0
0,2,0,0,16,0,6,1,0,2,2,3,0
0,2,0,1,3,0,7,1,0,2,1,1,3
0,2,0,0,16,0,6,1,0,0,2,1,0
1,3,0,0,8,0,6,0,0,0,2,1,0
0,1,0,0,9,0,6,1,0,0,1,1,0
0,2,0,1,16,0,7,0,0,2,2,3,0
0,7,1,0,10,2,5,0,0,2,1,1,0
0,2,0,0,9,0,6,0,0,2,1,1,0
0,1,0,0,9,2,6,1,0,2,1,1,0
1,2,0,0,5,0,6,0,0,2,1,1,0
0,3,1,0,7,0,6,0,0,0,0,1,0
0,2,0,0,11,0,6,1,0,2,1,4,0
0,2,0,0,8,0,6,1,0,0,1,1,0
0,1,0,1,15,2,7,0,0,0,1,1,0
0,3,0,0,7,0,6,0,0,0,2,1,0
0,2,0,1,3,1,7,0,0,2,1,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
0,3,0,0,16,0,6,1,0,0,2,3,0
0,2,0,0,10,1,6,0,0,0,1,1,0
0,1,0,0,9,2,6,0,0,0,2,1,0
0,2,0,0,16,1,6,0,0,0,1,1,0
0,1,0,1,8,0,5,0,0,2,2,1,0
0,2,0,0,11,2,6,1,0,0,2,1,0
0,1,0,0,11,0,6,0,0,2,0,3,0
0,4,0,0,7,0,6,1,0,2,1,1,0
0,1,0,0,5,0,6,1,0,2,1,1,0
0,2,0,0,16,0,6,0,0,0,2,1,4
0,2,0,0,5,0,6,1,0,2,1,1,0
1,3,0,1,15,0,7,0,0,2,2,1,0
0,3,0,1,7,0,7,1,0,0,1,1,0
0,2,0,0,7,0,6,1,0,2,2,1,0
1,0,0,1,11,0,7,1,0,2,1,1,0
0,2,0,0,8,0,6,0,0,2,2,1,0
0,3,0,1,7,0,5,0,0,0,2,1,0
0,1,0,0,7,0,6,0,0,2,1,1,0
1,4,0,1,5,0,7,0,0,2,2,1,0
0,1,0,0,16,0,6,1,0,2,1,4,0
0,2,0,0,7,0,6,0,0,0,1,1,0
0,1,0,0,7,0,6,1,0,0,1,1,0
0,2,0,0,10,0,6,0,0,2,2,1,0
0,2,0,0,9,0,6,1,0,2,2,1,0
0,1,0,1,9,0,7,1,0,0,2,1,0
0,3,0,0,6,0,6,0,0,0,2,1,0
0,2,0,0,8,0,6,1,0,2,1,1,0
0,1,0,0,8,0,6,0,0,2,1,1,0
0,4,0,1,11,0,7,0,0,0,1,1,0
0,2,0,0,16,0,6,0,0,2,0,3,0
0,2,0,1,7,0,7,1,0,2,2,1,0
0,1,1,0,8,0,6,0,0,0,1,1,0
0,2,0,0,10,0,6,1,0,0,1,1,4
0,2,0,0,12,0,6,0,0,0,2,1,0
0,2,0,0,6,0,1,0,0,0,1,1,0
0,1,0,0,5,0,6,1,0,2,2,1,0
0,1,0,0,6,0,6,1,0,2,2,1,0
0,2,0,0,8,0,6,1,0,0,2,1,0
0,2,0,0,9,2,6,1,0,2,1,1,1
0,2,0,0,9,1,6,1,0,2,1,1,0
0,2,0,0,7,0,6,1,0,2,1,1,0
0,2,0,1,14,0,7,0,0,0,1,1,0
0,2,0,1,16,0,7,1,0,2,2,1,0
0,1,0,0,8,0,6,1,0,2,1,1,0
0,1,0,0,9,0,6,0,0,0,1,1,0
0,2,0,0,16,0,6,1,0,2,2,1,0
0,1,0,0,5,0,6,1,0,2,1,1,0
0,1,0,0,5,0,6,0,0,0,1,1,0
0,4,0,1,5,2,7,1,0,2,1,1,1
0,2,0,1,7,0,7,0,0,2,2,1,0
0,5,0,0,7,0,6,0,0,0,2,1,0
0,1,0,1,7,0,7,0,0,2,2,1,0
0,3,0,0,8,0,6,0,0,2,1,1,0
0,2,0,0,16,0,6,0,0,2,0,1,0
0,2,0,0,15,0,6,0,0,2,1,1,0
0,1,0,0,7,0,6,1,0,2,2,1,0
0,5,0,0,8,1,6,0,0,2,1,1,1
0,1,0,0,8,0,6,0,0,0,2,1,0
4,0,1,0,10,0,6,0,0,2,2,1,4
0,4,0,0,10,1,6,0,0,2,1,1,1
0,2,0,1,16,0,7,3,0,0,1,1,0
1,2,0,1,7,0,7,1,0,0,2,1,0
1,2,0,0,3,0,6,0,0,0,2,1,0
0,3,0,0,7,0,6,1,0,2,2,1,1
0,3,0,1,16,0,7,1,0,2,1,1,1
0,2,0,0,9,0,6,0,0,2,1,1,0
0,1,0,0,7,0,6,0,0,2,2,1,0
0,3,0,0,9,0,6,1,0,2,1,1,0
0,1,0,0,7,0,6,0,0,0,1,1,0
0,1,0,1,3,2,7,1,0,2,2,1,0
0,2,0,0,9,2,6,1,0,2,1,1,0
0,3,0,1,16,0,7,1,0,2,0,1,1
0,1,0,0,11,0,6,0,0,0,1,1,0
0,3,0,1,7,0,6,0,0,2,2,1,0
0,2,0,1,8,0,7,1,0,2,0,1,0
0,3,0,1,8,0,5,0,0,2,1,1,0
0,2,0,0,9,0,6,0,0,2,2,1,0
0,3,0,0,7,0,6,1,0,0,1,1,0
0,1,0,0,9,0,6,1,0,2,1,1,0
0,2,0,0,3,1,6,0,0,2,1,1,1
0,2,0,1,8,0,7,1,0,2,2,1,0
0,6,0,0,8,0,6,0,0,0,1,1,0
0,2,0,0,5,0,6,0,0,2,2,1,0
0,2,0,0,12,2,6,0,0,2,1,1,0
0,2,0,1,16,0,7,0,0,0,1,3,1
0,1,0,0,8,0,6,3,0,0,2,1,0
0,2,0,0,8,0,6,0,0,2,1,2,0
0,1,0,1,16,1,7,0,0,0,1,1,4
0,0,1,1,10,0,7,1,0,0,0,1,0
0,3,0,0,8,0,6,0,0,0,1,1,0
1,1,0,0,8,1,6,0,0,0,1,1,0
0,2,0,1,16,0,7,0,0,0,1,3,0
0,2,0,1,9,0,7,0,0,2,1,1,0
0,3,0,0,5,0,6,0,0,2,2,1,0
0,4,0,0,11,0,6,1,0,0,0,3,0
0,1,0,0,16,0,6,1,0,2,1,1,0
0,2,0,0,7,0,6,1,0,0,2,1,0
0,2,0,0,8,0,6,0,0,0,2,1,0
1,2,0,0,7,0,6,0,0,0,2,1,0
0,1,0,0,10,0,6,0,0,2,1,1,0
0,2,0,1,10,2,7,0,0,0,1,1,0
0,1,0,0,8,2,6,0,0,2,1,1,0
0,4,0,0,7,0,6,0,0,0,1,1,0
0,3,0,1,16,0,7,0,0,0,0,1,4
0,3,0,0,8,0,6,0,0,2,0,1,0
0,2,0,1,8,0,7,1,0,2,2,1,0
0,4,0,0,7,0,7,0,0,2,2,1,0
0,2,0,0,8,0,5,1,0,2,2,1,0
0,1,0,0,8,0,6,0,0,2,1,1,0
0,3,0,0,9,1,6,1,0,0,1,1,0
0,1,0,0,16,0,5,1,0,0,0,3,1
0,2,0,0,7,0,6,1,0,2,1,1,0
0,2,0,0,7,0,6,1,0,0,1,1,0
0,2,0,0,5,0,6,0,0,2,2,1,0
0,2,0,0,7,0,6,0,0,2,2,1,0
0,3,0,1,7,0,7,0,0,0,1,1,0
0,1,0,0,8,0,6,1,0,0,1,1,3
0,1,0,0,8,0,6,0,0,2,2,1,0
0,1,0,0,7,0,2,3,0,2,2,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
0,3,0,0,7,0,6,0,0,2,1,1,0
0,1,0,0,8,0,6,0,0,2,1,1,0
0,1,0,1,9,2,7,1,0,0,1,1,0
0,1,0,0,16,2,6,0,0,0,1,1,0
0,2,0,1,7,0,7,1,0,0,1,1,0
0,2,0,0,16,0,6,0,0,2,1,1,0
0,2,0,1,12,2,7,0,0,0,2,1,0
0,1,0,0,16,0,2,0,0,2,2,1,0
0,3,0,0,7,0,6,1,0,2,1,1,0
0,1,0,0,9,0,6,1,0,2,1,1,0
0,2,0,0,9,0,6,0,0,0,2,1,1
0,2,0,0,8,0,6,0,0,2,1,1,0
0,2,0,0,16,0,6,1,0,2,2,1,0
0,5,0,0,7,0,6,0,0,2,1,1,0
0,1,0,1,8,0,7,1,0,2,2,1,0
0,2,0,0,7,0,6,1,0,2,2,1,0
0,3,0,0,3,0,6,0,0,0,2,1,3
0,2,0,0,7,0,6,1,0,0,2,1,0
0,1,0,0,9,0,6,0,0,0,1,1,0
0,3,0,0,16,0,6,0,0,2,1,3,0
3,0,0,1,7,0,7,0,0,0,0,1,0
0,2,0,0,15,2,5,1,0,0,1,1,0
0,2,0,1,16,0,7,0,0,2,2,3,1
0,1,0,0,8,0,6,0,0,2,1,1,0
0,2,0,0,5,0,6,1,0,0,1,1,0
0,4,0,0,8,0,6,0,0,0,0,1,0
0,4,0,0,7,2,6,0,0,0,1,1,0
1,0,0,0,10,0,6,1,0,2,2,1,0
1,1,0,0,16,0,6,0,0,0,1,1,4
0,2,0,0,8,2,6,0,0,2,1,1,0
0,2,0,0,10,0,6,1,0,2,2,1,0
0,1,0,0,8,0,5,1,0,2,1,1,0
0,1,0,1,7,0,7,1,0,2,2,1,0
0,2,0,0,7,0,6,0,0,2,2,1,0
0,3,0,0,7,0,6,3,0,0,2,1,1
0,1,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,9,1,6,1,0,2,1,1,3
0,3,0,0,5,0,6,1,0,2,2,1,0
0,1,0,0,7,0,6,0,0,2,0,1,0
0,1,0,0,6,2,6,0,0,0,1,1,1
0,3,0,0,9,0,6,0,0,0,2,1,0
0,2,0,0,16,0,6,1,0,2,2,3,4
0,1,0,1,9,2,7,1,0,2,1,1,0
0,1,0,0,8,0,6,1,0,2,1,1,0
0,1,0,0,8,0,6,1,0,2,2,1,0
0,1,0,2,9,1,7,0,0,2,0,1,0
0,4,0,0,9,1,6,1,0,2,1,1,4
0,2,0,0,8,0,6,1,0,2,2,1,0
0,3,0,1,16,0,6,0,0,2,2,1,0
0,3,0,0,7,0,6,1,0,2,1,1,0
0,3,0,0,8,2,6,0,0,2,2,1,0
0,1,0,0,7,0,6,0,0,2,2,1,0
0,8,0,0,7,0,6,1,0,0,2,1,0
0,3,0,1,9,0,5,1,0,2,1,1,0
0,1,0,0,11,0,6,1,0,0,0,1,0
0,2,0,0,15,2,6,1,0,0,2,1,0
0,1,0,0,5,0,6,1,0,0,1,1,0
0,6,0,0,7,0,6,1,0,2,2,1,0
0,2,0,1,10,0,7,1,0,2,2,1,0
0,2,0,0,7,0,6,0,0,2,2,1,0
0,2,0,0,7,0,6,0,0,2,2,1,0
0,2,1,1,10,0,7,1,0,0,2,1,0
0,2,0,0,16,0,6,0,0,2,2,1,0
0,2,0,0,7,0,6,0,0,0,1,1,4
0,4,0,0,8,0,6,0,0,2,1,1,0
1,1,0,0,16,0,6,0,0,0,2,1,0
0,1,0,0,16,1,6,0,0,2,1,1,0
0,5,0,0,8,0,6,1,0,2,2,1,0
0,2,0,0,7,0,6,0,0,0,0,1,0
0,3,0,0,16,0,6,0,0,2,2,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
0,2,0,1,16,0,7,1,0,2,2,1,0
0,1,0,0,9,0,6,1,0,2,2,1,0
0,5,0,1,7,0,7,1,0,0,1,1,0
0,2,0,0,16,0,6,0,0,2,0,1,0
0,4,0,0,9,0,6,0,0,2,1,1,0
0,2,0,0,16,0,6,0,0,2,2,1,0
1,1,0,0,16,0,6,3,0,2,2,1,0
0,1,0,0,9,0,6,0,0,0,2,1,0
0,3,0,0,8,0,6,1,0,2,1,1,1
5,3,0,0,7,0,6,0,0,2,1,1,0
0,2,0,0,6,0,6,1,0,0,1,1,0
0,2,0,0,5,2,6,1,0,2,1,1,0
0,1,0,1,5,0,5,0,0,0,2,1,0
0,1,0,0,9,2,6,1,0,0,1,1,0
0,3,0,0,16,0,6,1,0,0,2,1,0
0,2,0,0,10,0,5,0,0,2,2,1,0
0,3,0,1,7,0,7,1,0,0,1,1,0
0,2,0,0,7,0,6,0,0,0,1,1,0
0,2,0,0,8,0,6,0,0,0,1,1,0
0,2,0,0,16,0,6,1,0,2,2,1,0
0,2,0,0,11,0,6,1,0,2,2,1,0
2,0,0,0,7,0,6,0,0,2,2,1,0
0,4,0,0,7,0,7,0,0,0,2,1,1
0,2,0,1,9,2,7,1,0,0,2,1,0
0,5,0,0,7,0,6,0,0,0,1,1,0
0,1,0,0,9,2,6,1,0,0,1,1,0
4,0,0,0,16,0,6,0,0,2,0,3,0
0,3,0,0,5,0,6,0,0,0,2,1,0
0,2,0,0,11,0,6,0,0,2,2,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
0,1,0,0,15,0,6,1,0,2,2,1,0
0,1,0,0,16,1,7,0,0,2,1,1,0
0,1,0,0,8,0,6,0,0,2,1,1,0
0,1,0,0,9,2,7,0,0,2,1,1,0
2,0,0,0,9,1,6,0,0,0,1,1,0
1,1,0,0,16,0,6,1,0,2,2,1,0
0,2,0,0,16,0,6,0,0,2,1,3,0
2,1,0,1,16,0,7,1,0,0,2,1,0
0,2,0,0,7,0,6,0,0,0,2,1,0
0,1,0,1,11,0,7,1,0,0,1,3,0
0,3,0,0,7,0,6,1,0,2,0,1,0
0,2,0,1,16,1,7,0,0,2,1,1,3
0,2,0,0,11,2,6,0,0,2,1,1,0
0,2,0,0,8,2,6,1,0,0,1,1,0
0,3,0,0,5,0,6,1,0,0,2,1,3
0,6,0,0,7,0,6,0,0,0,0,1,1
0,1,0,0,8,0,7,1,0,0,2,1,0
0,2,0,1,16,1,5,1,0,0,1,1,0
0,3,0,0,8,0,6,0,0,0,2,1,0
0,2,0,0,16,0,2,0,0,2,0,1,0
0,2,0,1,12,2,7,0,0,0,2,1,0
0,1,0,0,5,0,6,0,0,0,1,1,0
0,2,0,0,12,2,6,1,0,0,1,1,0
0,5,0,0,7,0,6,0,0,2,0,1,0
0,2,0,0,8,0,6,0,0,0,0,1,0
0,3,0,0,7,0,6,0,0,2,1,1,1
0,1,0,0,9,2,6,1,0,0,1,1,0
0,1,0,0,9,0,6,1,0,2,1,1,0
0,2,0,1,16,0,7,0,0,2,2,3,0
0,1,0,1,8,0,7,0,0,2,2,1,0
0,2,0,0,8,0,6,1,0,0,1,1,0
1,1,1,0,7,0,6,1,0,2,0,1,0
1,3,0,1,8,0,7,1,0,2,2,1,0
0,2,0,0,3,0,6,0,0,2,1,1,0
0,2,0,0,16,1,6,0,0,0,1,1,0
0,1,0,0,8,0,6,0,0,2,2,1,0
0,5,0,0,7,0,6,0,0,0,2,1,0
0,2,0,0,16,0,6,1,0,2,2,1,0
0,2,0,0,15,0,6,1,0,0,2,4,0
0,1,0,0,3,1,6,1,0,2,1,1,0
0,3,0,0,9,0,6,0,0,2,2,1,0
0,3,0,0,7,0,6,0,0,2,2,1,1
0,2,0,1,9,0,7,1,0,0,1,1,0
2,0,0,0,16,0,6,1,0,2,2,1,0
0,1,0,0,13,0,6,0,0,2,2,1,4
0,1,0,0,16,0,6,0,0,2,2,1,0
0,2,0,0,8,0,6,1,0,2,2,1,0
1,5,0,0,7,0,6,0,0,2,1,1,0
0,3,0,0,7,0,4,1,0,0,2,1,4
0,2,0,0,5,0,6,0,0,2,2,1,0
1,2,0,0,7,0,6,1,0,0,0,1,0
0,1,0,0,8,0,6,1,0,0,2,1,0
0,2,0,0,7,0,6,1,0,2,2,1,0
0,2,0,0,12,1,6,0,0,0,1,1,0
0,1,0,0,9,0,6,1,0,0,2,1,0
0,1,0,0,16,0,6,0,0,0,2,3,0
0,1,0,0,7,0,6,1,0,0,2,1,0
0,3,0,1,5,0,7,0,0,0,2,1,0
0,2,0,0,16,2,6,0,0,2,2,1,0
0,1,0,1,8,0,7,0,0,2,2,1,0
0,1,0,0,7,0,6,1,0,0,1,1,0
0,34,1,1,10,0,7,1,0,0,1,1,0
1,1,0,0,7,0,6,1,0,0,0,1,0
0,1,0,0,8,1,6,0,0,0,1,1,0
0,3,0,1,7,0,7,1,0,0,0,1,0
0,1,0,0,5,0,6,1,0,0,2,1,0
1,1,0,0,9,0,6,1,0,2,1,1,0
1,0,0,0,8,0,6,0,0,2,1,1,0
0,3,0,1,16,0,7,0,0,2,1,1,0
