cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
2006,50,50,0,69,1,0,0,1,0,1,0,6,0,0,5,0,0
2001,50,50,0,69,1,0,0,1,0,2,0,7,0,1,7,0,0
2006,50,50,0,54,1,1,1,6,0,3,0,6,0,0,7,0,0
2008,90,90,0,54,1,0,0,4,0,2,0,6,0,0,9,0,0
1998,50,50,0,59,1,0,2,1,0,1,0,7,0,1,9,0,0
2001,50,50,1,44,1,0,0,1,1,1,0,6,0,0,8,0,3
1999,50,50,0,75,1,0,0,1,0,1,0,7,0,1,16,0,0
1998,50,50,1,34,1,0,0,0,0,2,1,7,0,1,12,0,0
2002,50,50,1,29,1,0,0,1,0,2,0,2,0,0,3,0,0
1993,50,50,0,20,1,0,3,1,1,6,0,2,0,0,10,0,0
1996,90,90,0,75,1,0,0,4,0,3,0,7,0,1,7,0,0
1985,50,50,0,17,1,0,0,1,0,1,0,6,0,0,9,0,0
2007,90,90,0,39,1,0,0,4,0,3,0,6,0,0,6,1,0
2005,50,50,0,44,1,0,0,4,0,2,0,5,0,0,8,0,0
2003,50,50,1,34,1,0,0,1,0,1,0,7,0,1,9,0,0
2000,50,90,0,59,1,0,0,5,1,1,0,6,0,0,8,0,0
2007,50,50,0,34,1,0,0,1,0,1,2,6,0,0,9,0,0
1998,50,50,0,29,1,0,0,1,0,2,0,6,0,0,7,0,0
2008,50,50,0,44,1,0,0,1,0,1,0,6,0,0,8,0,0
2011,50,50,0,24,1,0,0,1,0,2,0,6,0,0,8,1,0
1998,50,50,1,29,1,0,0,1,0,2,0,6,0,0,7,0,0
1996,50,50,0,24,1,0,0,1,0,2,0,6,0,0,8,0,0
2002,90,90,0,49,1,0,0,6,0,2,0,6,0,0,9,0,0
1991,50,50,0,44,1,0,0,1,0,2,2,6,0,0,3,0,0
2013,120,120,1,49,1,0,0,0,0,2,1,6,0,0,9,0,0
1994,40,40,0,49,1,0,0,1,0,1,0,6,0,0,16,0,0
1997,50,50,0,39,1,0,0,1,0,2,0,6,0,0,5,4,0
2006,50,50,1,44,1,0,0,1,0,2,0,6,0,0,6,1,0
2001,50,50,1,69,1,0,0,1,0,1,0,6,0,0,9,0,0
2007,50,50,1,24,1,0,0,1,0,2,0,7,0,0,9,0,0
2005,50,50,0,24,1,0,0,1,0,1,2,6,0,0,9,1,0
2014,50,50,0,75,1,0,0,1,0,5,0,6,0,0,8,0,0
2015,50,50,0,29,1,0,0,1,0,1,0,6,0,0,8,0,0
2002,80,80,0,39,1,0,0,4,0,1,0,6,0,0,8,0,0
2009,50,50,0,39,1,0,0,1,0,1,0,6,0,0,9,4,0
1999,50,50,0,44,1,0,0,1,0,1,0,5,0,1,3,0,0
1977,50,50,0,75,1,0,0,1,0,2,0,6,0,0,7,0,0
1989,50,50,0,75,1,1,0,1,0,1,0,6,0,4,8,0,0
2014,50,50,0,34,1,0,0,1,0,2,2,7,0,0,5,0,0
2002,50,50,0,44,1,0,0,1,0,1,0,6,0,0,5,0,0
2003,50,50,1,49,1,2,0,1,0,1,2,7,0,1,11,0,0
1996,90,90,0,44,1,0,0,5,0,1,0,6,0,0,8,0,0
2014,50,50,0,29,1,0,0,1,0,2,0,6,0,0,8,0,0
2005,50,50,0,75,1,1,0,1,0,2,2,7,0,1,3,0,0
1983,90,90,0,24,1,0,0,3,0,1,0,6,0,0,16,0,0
2014,120,120,0,34,1,0,0,0,0,2,1,6,0,0,3,0,0
2008,50,50,0,34,1,0,0,1,0,2,0,6,0,0,8,0,0
2001,120,120,0,24,1,0,0,0,0,1,1,6,0,0,9,0,0
1999,90,90,0,54,1,0,0,3,0,5,0,7,0,1,7,0,0
2013,50,50,0,49,1,0,0,3,3,1,0,6,0,0,8,0,3
1994,90,90,0,74,1,3,0,4,0,2,0,6,0,0,5,0,0
2005,50,50,0,44,1,0,0,1,0,5,0,7,0,1,8,0,0
2004,50,50,0,44,1,0,0,1,0,1,2,6,0,0,8,1,0
2010,50,50,0,24,1,0,0,1,0,2,0,7,0,0,15,0,0
1999,50,50,1,59,1,0,0,4,0,1,0,6,0,0,8,0,0
2004,50,50,0,20,1,0,0,1,0,1,0,6,0,0,10,4,0
2004,90,90,0,49,1,0,0,4,0,5,0,6,0,0,6,0,0
1999,50,50,1,20,1,0,0,1,0,2,0,6,0,0,16,0,0
2008,120,120,1,59,1,0,0,0,0,3,1,6,0,0,9,0,0
1985,50,50,1,54,1,0,0,1,0,3,0,6,0,0,7,0,0
2009,90,90,1,54,1,0,0,3,0,4,0,6,0,0,8,0,0
2013,90,90,0,44,1,0,0,7,2,1,0,6,0,0,7,0,3
2012,90,90,1,34,1,0,0,4,0,3,0,6,0,0,16,0,0
2009,50,50,1,44,1,0,0,4,0,2,2,6,0,0,6,0,0
1994,50,50,0,69,1,0,0,1,0,4,0,6,0,0,8,0,0
2008,60,120,0,34,1,0,0,0,0,1,1,6,0,0,9,4,0
2000,50,50,0,54,1,0,0,1,0,1,0,6,0,0,8,4,0
1997,50,50,0,34,1,0,0,4,1,3,0,6,0,0,6,1,0
2016,50,50,1,44,1,0,0,1,0,3,0,2,0,0,7,0,0
2003,50,50,1,29,1,1,0,4,0,1,0,7,0,1,16,0,0
2003,50,50,1,34,1,0,0,1,0,1,0,6,0,0,8,0,0
2000,70,70,1,29,1,0,0,0,0,1,1,6,0,0,5,0,0
2012,50,50,0,24,1,0,0,1,0,1,0,6,0,0,9,0,0
2010,50,50,1,34,1,0,0,1,0,1,0,6,0,0,5,1,0
2016,50,50,0,59,1,2,0,1,0,1,0,6,0,0,8,0,0
1992,50,50,0,59,1,0,0,1,0,2,0,7,0,1,9,0,0
2008,90,50,0,59,1,0,0,6,0,1,2,6,0,0,9,0,0
1995,50,50,0,20,1,0,0,1,1,2,0,6,1,0,7,0,1
2009,70,70,0,29,1,0,0,0,0,1,1,7,0,1,8,0,0
1990,50,50,0,59,1,0,0,1,0,2,0,6,0,0,8,0,0
2007,90,90,0,34,1,0,0,4,0,4,0,6,0,0,5,0,0
2009,50,50,1,44,1,0,0,4,0,4,0,6,0,0,7,0,0
1995,50,50,0,20,1,0,1,1,0,4,0,6,0,0,8,0,0
2002,90,90,0,59,1,0,0,0,0,2,1,6,0,0,3,0,0
2003,70,90,0,34,1,0,0,4,1,0,0,6,3,0,10,4,1
2004,50,50,0,39,1,1,0,4,0,1,0,6,0,0,6,0,0
1998,50,50,1,49,1,0,0,1,0,2,0,6,0,0,8,0,0
2015,90,90,1,49,1,0,0,6,1,3,2,6,0,0,3,0,3
1984,70,70,0,49,1,0,0,4,0,2,2,6,0,0,9,0,0
2005,120,120,0,54,1,0,0,0,0,2,1,6,0,0,9,0,0
2017,90,90,0,34,1,0,0,6,0,1,0,6,0,0,8,0,0
2015,120,120,1,54,1,0,0,0,0,1,1,6,0,0,7,0,0
2002,50,50,0,75,1,0,0,4,0,4,0,6,0,0,9,0,0
1996,80,80,0,29,1,3,0,7,0,1,2,6,0,0,3,0,0
2003,50,50,1,34,1,1,0,1,0,1,0,6,0,0,8,1,0
1999,50,50,0,75,1,0,0,4,1,3,0,7,0,1,8,0,3
2000,100,100,0,24,1,0,0,7,0,4,0,6,0,0,9,0,0
2008,50,90,0,59,1,0,0,4,0,2,0,6,0,0,9,0,0
2011,50,50,1,34,1,0,0,1,0,4,0,6,0,0,8,1,0
1994,50,50,0,75,1,0,0,4,0,2,0,6,0,0,9,1,0
2000,50,50,0,39,1,0,0,1,0,4,0,6,0,0,7,1,0
2008,50,50,1,34,1,0,2,1,0,1,0,6,0,0,5,0,0
2008,50,50,1,34,1,0,2,1,0,2,0,6,0,0,9,1,0
1999,50,50,1,74,1,0,0,1,0,1,0,6,0,0,8,0,0
1992,50,50,1,44,1,0,0,1,0,2,0,6,0,0,7,0,0
2002,120,120,1,44,1,0,0,0,2,1,1,6,1,0,14,0,3
2014,50,50,0,69,1,1,0,1,0,2,0,6,0,0,8,0,0
2008,50,50,0,34,1,0,0,1,0,2,2,6,0,0,9,3,0
2010,50,50,0,69,1,0,0,1,0,2,0,6,0,0,6,0,0
2009,50,50,1,39,1,0,0,1,0,1,0,6,0,0,9,0,0
2010,50,50,0,54,1,0,0,4,0,1,0,7,0,1,9,1,0
2014,50,50,0,49,1,1,0,1,0,2,2,6,0,0,8,0,0
2006,50,90,0,75,1,0,0,4,0,2,0,6,0,0,8,0,0
2003,90,90,1,24,1,0,0,4,0,1,0,6,1,0,16,0,1
1992,50,50,0,74,1,0,0,1,0,1,0,6,0,0,9,0,0
2012,50,50,1,20,1,0,0,1,0,3,0,6,0,0,9,4,0
1997,50,50,0,39,1,0,0,1,0,1,0,7,0,1,8,4,0
1997,50,50,0,59,1,1,0,1,0,3,0,5,0,1,9,0,0
2008,50,50,0,69,1,0,0,1,0,2,0,6,0,0,5,0,0
2001,120,120,1,74,1,0,0,0,0,3,1,7,0,1,9,0,0
2011,50,50,0,54,1,0,0,4,0,6,0,6,0,0,9,0,0
2000,50,50,0,29,1,1,0,4,0,2,0,6,0,0,9,0,0
2005,50,50,0,24,1,0,2,1,0,2,0,6,0,0,8,0,0
2007,120,120,0,44,1,0,0,0,0,2,1,7,0,2,8,0,0
2005,80,100,0,74,1,0,0,6,0,1,2,6,0,0,5,0,0
2017,50,50,0,24,1,0,0,1,0,3,0,6,0,0,8,0,0
2002,50,50,0,24,1,0,0,1,0,3,0,5,0,0,7,0,0
1999,50,50,0,29,1,0,0,1,0,2,0,6,0,0,11,0,0
1994,50,50,0,20,1,0,0,3,0,2,0,6,0,0,16,0,0
1993,50,50,1,75,1,0,0,4,0,2,0,7,0,1,7,0,0
2004,70,120,0,29,1,0,0,0,0,1,1,6,0,0,3,0,0
2011,50,50,0,29,1,0,0,1,0,1,0,6,0,0,9,0,0
2004,50,50,1,34,1,1,0,1,0,2,2,6,0,0,9,1,0
1999,50,50,0,39,1,0,0,1,0,1,2,6,0,0,9,0,0
1988,90,90,0,69,1,0,0,4,0,1,0,6,0,0,8,0,0
1996,50,50,0,39,1,0,0,1,0,1,0,7,0,1,7,0,0
2007,50,50,1,39,1,2,0,4,0,2,0,6,0,0,7,1,0
2018,50,50,1,29,1,1,0,1,0,2,0,6,0,0,9,0,0
2009,90,90,0,39,1,0,0,6,0,1,2,6,0,0,9,0,0
2002,60,80,0,39,1,0,0,6,0,2,2,6,0,0,3,1,0
2018,50,50,0,24,1,0,0,1,0,3,0,6,0,0,7,0,0
1999,50,50,0,75,1,0,0,1,0,2,0,6,0,0,8,0,0
1993,120,120,0,75,1,0,0,0,0,4,1,6,0,0,6,0,0
2006,50,50,0,39,1,0,0,4,0,1,0,6,0,0,9,0,0
2018,50,50,1,29,1,0,2,1,0,2,0,7,0,1,15,0,0
2002,50,50,0,49,1,1,0,1,0,1,0,6,0,0,7,0,0
2005,90,90,0,34,1,0,0,4,0,1,0,6,0,0,9,0,0
2012,120,120,1,29,1,0,0,0,0,2,1,6,0,0,10,0,0
2002,50,50,0,59,1,0,0,4,0,2,0,6,0,0,16,0,0
2004,50,50,0,54,1,0,0,1,0,3,0,6,0,0,8,0,0
2002,40,40,0,54,1,0,0,3,0,2,0,6,0,0,7,0,0
2002,50,50,0,49,1,0,0,1,0,2,0,7,0,1,7,4,0
1998,50,90,0,24,1,0,0,4,0,3,0,6,0,0,8,0,0
1993,50,50,1,39,1,0,0,1,0,2,0,6,0,0,9,0,0
2012,120,120,1,34,1,0,0,0,0,2,1,6,0,0,9,1,0
2012,90,90,0,54,1,0,0,4,0,2,0,6,0,0,8,0,0
2016,50,50,1,29,1,0,0,1,0,5,0,6,0,0,7,0,0
2009,50,50,1,49,1,0,0,3,0,2,0,6,0,0,16,0,0
1992,120,120,0,39,1,0,0,0,0,1,1,6,0,0,8,0,0
2000,50,50,1,39,1,0,0,3,0,2,0,6,0,0,10,1,0
2005,90,90,0,44,1,0,0,6,0,6,2,6,0,0,9,0,0
2012,120,120,0,54,1,0,0,0,0,1,1,7,0,1,9,0,0
1998,50,50,1,75,1,0,0,1,0,1,0,6,0,0,8,0,0
2001,50,50,0,74,1,0,0,4,0,1,0,6,0,0,9,0,0
2008,50,50,1,44,1,0,0,1,0,2,0,6,0,0,8,4,0
2003,90,90,0,44,1,0,0,4,0,2,2,7,0,1,3,0,0
1992,100,120,1,49,1,0,0,0,0,2,1,7,0,1,6,0,0
2006,100,100,1,59,1,0,0,6,0,1,2,6,0,0,9,0,0
2001,50,50,1,34,1,0,0,4,1,1,0,6,1,0,6,0,1
2006,120,120,0,29,1,0,0,0,0,3,1,6,0,0,9,1,0
2003,50,50,1,54,1,1,0,1,0,1,0,6,0,0,5,0,0
2001,90,90,1,54,1,0,0,4,0,1,0,6,0,0,9,0,0
2019,80,80,0,39,1,0,0,6,0,3,2,6,0,0,3,0,0
2002,50,50,1,49,1,0,0,1,0,1,0,6,0,0,9,0,0
2012,50,50,0,69,1,2,0,1,0,1,0,6,0,0,5,0,0
2018,50,50,1,34,1,0,0,1,0,3,0,6,0,0,7,0,0
2004,40,90,1,34,1,0,0,6,0,1,2,7,0,1,16,0,0
2013,60,60,0,20,1,0,0,5,0,2,0,7,0,1,9,0,0
2007,50,50,0,54,1,0,0,4,0,5,0,6,0,0,9,0,0
2007,90,90,0,54,1,0,0,4,0,1,0,6,0,0,8,0,0
1999,50,90,0,74,1,0,0,6,1,1,0,6,0,0,9,0,0
2007,50,50,0,44,1,0,0,1,0,1,0,6,0,0,3,0,0
2017,120,120,0,29,1,0,0,0,0,1,1,6,0,0,5,0,0
1990,90,90,0,74,1,0,0,1,0,2,0,7,0,1,10,0,0
1997,50,50,0,74,1,1,0,1,0,1,0,6,0,0,5,0,0
1993,50,50,0,24,1,3,0,1,0,1,0,6,0,0,9,0,0
2000,50,50,1,49,1,0,0,1,0,2,0,6,0,0,8,0,0
2018,120,120,0,44,1,0,0,0,0,1,1,7,0,0,16,0,0
2003,50,50,1,49,1,0,0,3,0,3,0,7,1,1,16,0,1
1999,60,50,1,75,1,3,0,1,0,3,2,6,0,0,2,0,0
2008,50,50,0,49,1,0,0,3,1,1,0,6,0,0,16,0,0
2005,50,50,0,24,1,0,0,1,0,1,0,5,0,0,8,0,0
1989,50,50,0,69,1,0,0,1,0,2,2,6,0,0,9,0,0
2009,90,90,0,44,1,0,0,4,0,2,0,5,0,1,8,0,0
1999,50,50,0,24,1,0,0,1,0,1,0,6,0,0,8,0,0
2005,50,50,0,75,1,0,0,1,0,1,0,6,0,0,8,0,0
1997,50,50,0,24,1,0,0,1,0,3,0,6,0,0,8,0,0
2017,50,90,0,39,1,0,0,4,0,2,0,6,0,0,9,1,0
2015,50,50,0,20,1,0,0,1,0,2,0,6,0,0,11,0,0
2015,50,50,1,34,1,0,0,1,0,2,0,6,0,0,7,0,0
2015,50,50,0,59,1,0,0,4,0,1,2,6,0,0,9,0,0
